name	symbol_id	start_number
Hump Hits Ceiling 2 Humps Large	02-08-002-02	0x2ba00
Hump Hits Ceiling 3 Humps Small	02-08-002-03	0x2bb00
Hump Hits Ceiling 3 Humps Large	02-08-002-04	0x2bc00
Loop Hits Ceiling Small Single	02-08-003-01	0x2bd00
Loop Hits Ceiling Large Single	02-08-003-02	0x2be00
Loop Hits Ceiling Small Double	02-08-003-03	0x2bf00
Loop Hits Ceiling Large Double	02-08-003-04	0x2c000
Wave Hits Ceiling Small	02-08-004-01	0x2c100
Wave Hits Ceiling Large	02-08-004-02	0x2c200
Rotation Single Hits Ceiling	02-08-005-01	0x2c300
Rotation Double Hits Ceiling	02-08-006-01	0x2c400
Rotation Alternating Hits Ceiling	02-08-007-01	0x2c500
Curve Hits Floor Small	02-08-008-01	0x2c600
Curve Hits Floor Large	02-08-008-02	0x2c700
Hump Hits Floor 2 Humps Small	02-08-009-01	0x2c800
Hump Hits Floor 2 Humps Large	02-08-009-02	0x2c900
Hump Hits Floor 3 Humps Small	02-08-009-03	0x2ca00
Hump Hits Floor 3 Humps Large	02-08-009-04	0x2cb00
Loop Hits Floor Small Single	02-08-010-01	0x2cc00
Loop Hits Floor Large Single	02-08-010-02	0x2cd00
Loop Hits Floor Small Double	02-08-010-03	0x2ce00
Loop Hits Floor Large Double	02-08-010-04	0x2cf00
Wave Hits Floor Small	02-08-011-01	0x2d000
Wave Hits Floor Large	02-08-011-02	0x2d100
Rotation Single Hits Floor	02-08-012-01	0x2d200
Rotation Double Hits Floor	02-08-013-01	0x2d300
Rotation Alternating Hits Floor	02-08-014-01	0x2d400
Curve Floor Plane Small	02-09-001-01	0x2d500
Curve Floor Plane Medium 1	02-09-001-02	0x2d600
Curve Floor Plane Medium 2	02-09-001-03	0x2d700
Curve Floor Plane Large	02-09-001-04	0x2d800
Curve Floor Plane Combined	02-09-001-05	0x2d900
Hump Floor Plane Small	02-09-002-01	0x2da00
Loop Floor Plane Small	02-09-003-01	0x2db00
Wave Floor Plane Snake	02-09-004-01	0x2dc00
Wave Floor Plane Small	02-09-004-02	0x2dd00
Wave Floor Plane Large	02-09-004-03	0x2de00
Rotation Single Floor Plane	02-09-005-01	0x2df00
Rotation Double Floor Plane	02-09-006-01	0x2e000
Rotation Alternating Floor Plane	02-09-007-01	0x2e100
Shaking Parallel Floor	02-09-008-01	0x2e200
Arm Circle Wall Small Single	02-10-001-01	0x2e300
Arm Circle Wall Medium Single	02-10-001-02	0x2e400
Arm Circle Wall Small Double	02-10-002-01	0x2e500
Arm Circle Wall Medium Double	02-10-002-02	0x2e600
Arm Circle Hits Wall Small Single	02-10-003-01	0x2e700
Arm Circle Hits Wall Medium Single	02-10-003-02	0x2e800
Arm Circle Hits Wall Large Single	02-10-003-03	0x2e900
Arm Circle Hits Wall Small Double	02-10-004-01	0x2ea00
Arm Circle Hits Wall Medium Double	02-10-004-02	0x2eb00
Arm Circle Hits Wall Large Double	02-10-004-03	0x2ec00
